Country,Insufficient Data,Life Expectancy,Well-Being,Foot-print,GDP/capita,Governance Index,Gender Equality Rank,Inequality in education,HDI,Sub-Region,Region,Lat,Long
Honduras,0,73.1,5.866131512,1.732866614,3922.928216,103,106,26.41244,0.606054608,1a,1,15,-86.5
Hong Kong,0,82.8,5.642834599,5.81111,46501.7275,14,..,..,0.90995187,6b,6,22.25,114.166667
Hungary,0,74.4,4.725132697,3.591028697,20545.40146,33,42,3.18778,0.828350453,7b,7,47,20
Iceland,0,81.8,6.888284167,6.5393,35642.2265,16,12,2.41753,0.899412127,2d,2,65,-18
India,0,65.4,4.989277403,0.869743782,3425.448927,78,130,42.112,0.608692727,5a,5,20,77
Indonesia,0,69.4,5.457299414,1.12749177,4325.253328,91,110,20.81128,0.683759559,6c,6,-5,120
Iran,0,73,4.76750686,2.660012933,11569.6554,136,114,37.345,0.765590711,3b,3,32,53
Iraq,0,69,5.016920811,1.420339232,3561.726808,145,123,30.63102,0.653860839,3b,3,33,44
Ireland,0,80.6,7.257389644,6.215010755,40464.32801,13,21,5.367,0.915541562,2c,2,53,-8
Israel,0,81.6,7.358916104,3.95816849,28573.33074,41,18,9.907,0.894272981,3b,3,31.5,34.75
Italy,0,81.9,6.354237976,4.524813012,31954.17518,42,10,10.55974,0.873022984,2e,2,42.833333,12.833333
Jamaica,0,73.1,6.207881955,1.721922037,7673.413016,58,93,5.60595,0.718529602,1a,1,18.25,-77.5
Japan,0,83.4,6.05675259,4.170427112,33732.86822,22,26,19.813,0.890593213,6b,6,36,138
Jordan,0,73.4,5.696180563,2.130497775,5749.203958,60,102,16.9017,0.748328542,3b,3,31,36
Kazakhstan,0,67,5.514286577,4.144991342,12169.05581,92,52,5.874,0.787982452,7a,7,48,68
Kenya,0,57.1,4.255859146,0.946802585,1651.232086,107,126,26.01787,0.548409285,4b,4,1,38
Korea,0,80.6,6.116024412,4.618836885,29101.07114,36,23,25.538,0.898334135,6b,6,37,127.5
Kuwait,0,74.6,6.581164575,9.719925975,46428,51,79,..,0.816271768,3b,3,29.5,47.75
Kyrgyzstan,0,67.7,4.996410812,1.289603429,2238.853277,116,67,5.01723,0.655273515,7a,7,41,75
Laos,0,67.5,5.044098972,1.304032451,2550.978441,125,..,34.063,0.575044891,6c,6,18,105
Latvia,0,73.3,4.668910416,3.953841968,16340.31295,37,36,3.4944,0.81876601,7b,7,57,25
Lebanon,0,72.6,5.181676266,2.847759746,14069.42432,104,78,24.053,0.768897837,3b,3,33.833333,35.833333
Liberia,0,56.8,4.196063166,1.279882578,418.7922666,112,146,46.38,0.429695109,4c,4,6.5,-9.5
Libya,0,74.8,4.920692304,3.187299719,16987.06734,130,27,..,0.724464011,3a,3,25,17
Lithuania,0,72.2,5.065824904,4.383715516,18370.16318,35,23,5.85483,0.839421883,7b,7,56,24
Luxembourg,0,80,7.097251764,10.72424,86124.28461,5,17,6.01176,0.891851627,2c,2,49.75,6.166667
Macedonia,0,74.8,4.180201863,5.364422328,11161.57339,62,33,10.592,0.74725286,7b,7,41.833333,22
Madagascar,0,66.7,4.640078923,1.156299394,968.6737279,110,..,35.01448,0.509865579,4a,4,-20,47
Malawi,0,54.2,5.148239502,0.775803788,882.1492376,72,140,30.20141,0.445415565,4a,4,-13.5,34
Malaysia,0,74.2,5.580281601,3.900403258,14730.93506,46,42,..,0.779245824,6c,6,2.5,112.5
Mali,0,51.4,3.762304976,1.864940544,1064.606452,90,150,41.61872,0.419288836,4c,4,17,-4
Malta,0,79.6,5.773874815,4.25509,26445.23715,20,46,7.31224,0.83897834,2e,2,35.916667,14.433333
Mauritania,0,58.6,4.97416914,2.864512252,2456.439431,122,139,40.78516,0.505867208,4c,4,20,-12
Mauritius,0,73.4,5.477072976,4.551181705,13696.50866,34,88,13.17,0.776552444,4a,4,-20.3,57.583333
Mexico,0,77,6.802388634,3.297908687,14563.88425,67,74,19.74609,0.756207912,1a,1,23,-102
Moldova,0,69.3,5.589736613,2.096280342,3109.837713,87,50,7.32865,0.693302691,7b,7,47,29
Mongolia,0,68.5,4.585523502,5.530729631,4035.870182,70,63,9.435,0.726620589,7a,7,46,105
Morocco,0,72.2,4.383247344,1.323544342,4712.01387,79,117,45.8,0.627953662,3a,3,32,-5
Mozambique,0,50.2,4.653583238,0.784310381,942.063592,71,135,33.81013,0.416427561,4a,4,-18.25,35
Myanmar,1,65.2,5.321976944,1.935682715,1950.22574,149,85,19.44,0.535560678,5a,5,#N/A,#N/A
Namibia,0,62.5,4.885587122,2.033721701,6474.567151,47,81,27.765,0.627616308,4a,4,-22,17
Nepal,0,68.8,3.809444659,0.759446374,1198.863187,121,108,41.37719,0.547536525,5a,5,28,84
Netherlands,0,80.7,7.501875836,6.335531544,42164.50406,8,7,4.05123,0.921793512,2c,2,52.5,5.75
New Zealand,0,80.7,7.223756397,4.313162606,29534.51533,4,32,..,0.913497656,2a,2,-42,174
Nicaragua,0,74,5.686699354,1.559846601,2913.278816,108,95,29.49004,0.631432134,1a,1,13,-85
Niger,0,54.7,4.101016189,2.589298394,727.9949256,109,154,34.96483,0.348254389,4c,4,16,8
Nigeria,0,51.9,4.760275794,1.440481412,2399.389429,135,..,43.29704,0.514024001,4c,4,10,8
Norway,0,81.1,7.632287552,4.769394107,57230.89,7,9,2.32217,0.94387728,2d,2,62,10
Pakistan,0,65.4,5.267186141,0.753681571,2687.638114,132,121,44.39953,0.538381762,5a,5,30,70
Palestine,1,72.8,4.845216382,1.40122,2613,n/a,..,16.49649,0.677492609,3b,3,#N/A,#N/A
Panama,0,76.1,7.32146749,2.965542307,13607.82747,56,96,16.602,0.779677597,1a,1,9,-80
Paraguay,0,72.5,5.841174116,2.994822431,5181.283653,105,101,16.213,0.679164356,1b,1,-22.993333,-57.996389
Peru,0,74,5.612785201,2.029934988,9537.704508,68,82,23.289,0.734203129,1b,1,-10,-76
Philippines,0,68.7,4.941514141,0.982726997,3969.251025,97,89,11.5562,0.668218346,6c,6,13,122
Poland,0,76.1,5.780330168,3.937681316,19884.55441,31,28,5.59326,0.842677828,7b,7,52,20
Portugal,0,79.5,4.872720766,4.116788519,25415.54358,26,20,5.90099,0.830095297,2e,2,39.5,-8
Qatar,0,78.4,6.591603996,11.67622398,80943.89283,38,116,..,0.849768365,3b,3,25.5,51.25
Romania,0,74,4.909165951,2.837321778,14524.30355,50,64,4.67028,0.79279742,7b,7,46,25
Russia,0,68.8,5.464779107,4.396228614,19891.35283,111,54,2.299,0.797870201,7c,7,60,100
Rwanda,0,55.4,4.029761886,0.709080047,1163.381707,69,80,29.41586,0.483240524,4b,4,-2,30
Saudi Arabia,0,73.9,6.726918314,3.988496505,22713.48529,74,56,..,0.837273977,3b,3,25,45
Senegal,0,59.3,3.834201487,1.531239791,1934.959229,89,118,44.74737,0.465889127,4c,4,14,-14
Serbia,0,74.5,4.461304407,2.567322768,11348.73203,64,38,8.12667,0.771149777,7b,7,44,21
Sierra Leone,0,47.8,4.133956057,1.1317433,826.9138929,106,145,49.622,0.412779427,4c,4,8.5,-11.5
Singapore,0,81.1,6.531401799,6.100923864,57932.42717,12,13,..,0.91179782,6b,6,1.366667,103.8
Slovakia,0,75.4,6.052223142,4.660814217,23302.83328,32,33,1.53767,0.843572119,7b,7,48.666667,19.5
Slovenia,0,79.3,6.082555189,5.211423961,26925.21022,28,1,2.64355,0.88028084,7b,7,46.25,15.166667
South Africa,0,52.8,4.652428583,2.589260832,10565.18406,48,83,16.06077,0.665879394,4a,4,-30,26
Spain,0,81.4,6.188262653,4.74012615,32230.3586,29,16,5.23147,0.876124307,2e,2,40,-4
Sri Lanka,0,74.9,4.180569262,1.206348983,5077.970265,85,72,12.786,0.756658911,5a,5,7,81
Sudan,0,61.5,4.37509714,1.63033454,2255.751395,147,135,42.67139,0.47911312,4b,4,16,30
Sweden,0,81.4,7.496019064,5.708355966,39024.17387,3,6,3.46342,0.90681646,2d,2,62,15
Switzerland,0,82.3,7.524520636,5.013066566,46384.4904,6,2,5.7249,0.92961314,2c,2,47,8
Syria,0,75.9,4.065824276,1.454490753,5285.024576,123,119,31.489,0.593720561,3b,3,35,38
Tajikistan,0,67.5,4.38063633,0.900642725,2162.769068,131,69,6.54325,0.624455505,7a,7,39,71
Tanzania,0,58.2,3.229129025,1.19238277,1433.990578,81,125,28.49972,0.521214356,4b,4,-6,35
Thailand,0,74.1,6.216703138,2.411844749,8553.805912,82,76,16.1,0.725836139,6c,6,15,100
Togo,0,57.1,2.807855138,1.031872762,998.0234978,120,134,38.87913,0.483537549,4c,4,8,1.166667
Trinidad and Tobago,0,70.1,6.696443929,7.559941531,25738.62683,54,73,6.595,0.771893819,1a,1,11,-61
Tunisia,0,74.5,4.685980744,1.764817913,9549.838669,66,48,34.57692,0.721191132,3a,3,34,9
Turkey,0,74,5.490347161,2.554784968,15686.86017,57,71,14.15618819,0.761120293,3b,3,39.059012,34.911546
Turkmenistan,0,65,6.567713266,3.983001179,8273.643714,144,..,..,0.687520517,7a,7,40,60
Uganda,0,54.1,4.192882221,1.565490461,1272.458112,100,122,29.37211,0.482672091,4b,4,2,33
Ukraine,0,68.5,5.057561323,3.19397593,6720.972226,96,57,3.59926,0.747005221,7c,7,49,32
United Arab Emirates,0,76.5,7.196803093,8.880908706,47213.36642,43,47,..,0.83546904,3b,3,24,54
United Kingdom,0,80.2,7.029364308,4.713109588,35686.19977,17,39,2.78598,0.906698192,2c,2,54,-4
United States of America,0,78.5,7.163616195,7.189133029,47153.00943,21,55,5.3,0.914959354,2b,2,39.828175,-98.5795
Uruguay,0,77,6.062010945,5.07866107,14108.07465,30,61,9.209,0.792762977,1b,1,-33,-56
Uzbekistan,0,68.3,5.095342262,1.819811783,3106.049132,142,..,1.423,0.675466117,7a,7,41.707542,63.84911
Venezuela,0,74.4,7.478454372,3.024572094,12232.80458,140,103,17.581,0.7622524,1b,1,8,-66
Vietnam,0,75.2,5.767344608,1.390974448,3205.135776,94,60,18.034,0.66571735,6c,6,16.166667,107.833333
Yemen,0,65.5,3.924141923,0.87118284,2653.068939,138,155,48.09012,0.49811025,3b,3,15.5,47.5
Zambia,0,49,5.260360827,0.840814318,1561.938335,83,132,21.73491,0.585509863,4a,4,-15,30
Zimbabwe,0,51.4,4.845641852,1.170249909,376,146,112,17.39521,0.508747386,4a,4,-19,29
